epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5298,2.03217,4.07518,1.88428,0.00562,0.4602,0.03815,0.02005,1.63901,4.35103,1.77105,3.636e-05,3.636e-05,3.636e-05
2,62.0674,1.8558,3.97207,1.76208,0.00864,0.50895,0.11719,0.06512,1.40877,4.25,1.61009,8.10001e-05,8.10001e-05,8.10001e-05
3,90.7441,1.7198,3.76373,1.63427,0.0114,0.55182,0.19954,0.11733,1.27701,4.12384,1.50423,0.00012474,0.00012474,0.00012474
4,119.417,1.57558,3.46978,1.57933,0.01294,0.58991,0.2567,0.15076,1.23781,4.08221,1.43356,0.000167581,0.000167581,0.000167581
5,148.041,1.61656,3.13272,1.55673,0.01332,0.62295,0.23626,0.13743,1.17253,3.93382,1.36274,0.000209521,0.000209521,0.000209521
6,177.082,1.61314,2.96509,1.47744,0.01333,0.63543,0.24695,0.14865,1.13268,3.81056,1.32142,0.000250561,0.000250561,0.000250561
7,206.308,1.46317,2.6311,1.41799,0.92964,0.14846,0.28938,0.17731,1.16131,3.61319,1.32574,0.000290702,0.000290702,0.000290702
8,235.954,1.43341,2.48191,1.41871,0.0157,0.66842,0.32349,0.2077,1.15236,3.62502,1.32106,0.000329942,0.000329942,0.000329942
9,266.165,1.58148,2.43923,1.50328,0.65818,0.34488,0.3847,0.24047,1.18249,3.57749,1.38577,0.000368283,0.000368283,0.000368283
10,296.648,1.40955,2.1537,1.43878,0.94805,0.17026,0.42561,0.27219,1.19189,3.44584,1.41704,0.000405724,0.000405724,0.000405724
11,326.601,1.45884,1.99142,1.43815,0.9259,0.24587,0.47916,0.29511,1.2021,3.11609,1.37981,0.000442265,0.000442265,0.000442265
12,356.581,1.46082,1.91367,1.40813,0.85267,0.38147,0.58104,0.34555,1.24547,2.94392,1.38794,0.000477906,0.000477906,0.000477906
